,lat1,lon1,lat2,lon2
71,34.01837,-118.28983,34.01837,-118.289768
72,34.01837,-118.289768,34.01837,-118.289706
73,34.01837,-118.289706,34.01837,-118.289644
74,34.01837,-118.289644,34.01837,-118.289582
75,34.01837,-118.289582,34.01837,-118.28952
76,34.01837,-118.28952,34.01837,-118.289465
77,34.01837,-118.289465,34.01837,-118.28941
78,34.01837,-118.28941,34.01837166666667,-118.28934833333334
79,34.01837166666667,-118.28934833333334,34.01837333333333,-118.28928666666667
80,34.01837333333333,-118.28928666666667,34.018375,-118.289225
81,34.018375,-118.289225,34.01837666666667,-118.28916333333333
82,34.01837666666667,-118.28916333333333,34.01837833333333,-118.28910166666667
83,34.01837833333333,-118.28910166666667,34.01838,-118.28904
84,34.01838,-118.28904,34.01838,-118.289
85,34.01838,-118.289,34.01838,-118.28896
86,34.01838,-118.28896,34.01838,-118.288925
87,34.01838,-118.288925,34.01838,-118.28889
88,34.01838,-118.28889,34.0183763,-118.2888865
89,34.0183763,-118.2888865,34.018376517647056,-118.28882200000001
90,34.018376517647056,-118.28882200000001,34.01837673529412,-118.2887575
91,34.01837673529412,-118.2887575,34.018376952941175,-118.28869300000001
92,34.018376952941175,-118.28869300000001,34.01837717058824,-118.2886285
93,34.01837717058824,-118.2886285,34.018377388235294,-118.28856400000001
94,34.018377388235294,-118.28856400000001,34.01837760588235,-118.2884995
95,34.01837760588235,-118.2884995,34.01837782352941,-118.288435
96,34.01837782352941,-118.288435,34.01837804117647,-118.2883705
97,34.01837804117647,-118.2883705,34.01837825882353,-118.288306
98,34.01837825882353,-118.288306,34.01837847647059,-118.2882415
99,34.01837847647059,-118.2882415,34.01837869411765,-118.288177
100,34.01837869411765,-118.288177,34.01837891176471,-118.2881125
101,34.01837891176471,-118.2881125,34.01837912941176,-118.288048
102,34.01837912941176,-118.288048,34.018379347058826,-118.2879835
103,34.018379347058826,-118.2879835,34.01837956470588,-118.287919
104,34.01837956470588,-118.287919,34.018379782352945,-118.2878545
105,34.018379782352945,-118.2878545,34.01838,-118.28779
106,34.01838,-118.28779,34.01838,-118.2877375
107,34.01838,-118.2877375,34.01838,-118.28768500000001
108,34.01838,-118.28768500000001,34.01838,-118.2876325
109,34.01838,-118.28742,34.01838,-118.28735923076923
110,34.01838,-118.28735923076923,34.01838,-118.28729846153846
111,34.01838,-118.28729846153846,34.01838,-118.28723769230768
112,34.01838,-118.28723769230768,34.01838,-118.28717692307693
113,34.01838,-118.28717692307693,34.01838,-118.28711615384616
114,34.01838,-118.28711615384616,34.01838,-118.28705538461539
115,34.01838,-118.28705538461539,34.01838,-118.28699461538461
116,34.01838,-118.28699461538461,34.01838,-118.28693384615384
117,34.01838,-118.28693384615384,34.01838,-118.28687307692307
118,34.01838,-118.28687307692307,34.01838,-118.28681230769232
119,34.01838,-118.28681230769232,34.01838,-118.28675153846154
120,34.01838,-118.28675153846154,34.01838,-118.28669076923077
121,34.01838,-118.28669076923077,34.01838,-118.28663
122,34.01838,-118.28663,34.018345,-118.28663
123,34.01837,-118.28612,34.01837,-118.2860575
124,34.01837,-118.2860575,34.01837,-118.285995
125,34.01837,-118.285995,34.01837,-118.2859325
126,34.01837,-118.2859325,34.01837,-118.28587
127,34.01837,-118.28587,34.01837,-118.2858075
128,34.01837,-118.2858075,34.01837,-118.28574499999999
129,34.01837,-118.28574499999999,34.01837,-118.2856825
130,34.01837,-118.2856825,34.01837,-118.28562
131,34.01837,-118.28562,34.01837,-118.2855575
132,34.01837,-118.2855575,34.01837,-118.285495
133,34.01837,-118.285495,34.01837,-118.2854325
134,34.01835,-118.28365,34.01835,-118.283605
135,34.01835,-118.283605,34.01835,-118.28356
136,34.01835,-118.28356,34.01835,-118.283515
137,34.01835,-118.283515,34.01835,-118.28347
138,34.01835,-118.28347,34.01835,-118.283425
139,34.01835,-118.283425,34.01835,-118.28338
140,34.01835,-118.28338,34.01835,-118.28332999999999
141,34.01835,-118.28332999999999,34.01835,-118.28328
142,34.01835,-118.28328,34.01835,-118.28323
143,34.01835,-118.28323,34.01835,-118.28317
144,34.01835,-118.28317,34.01835,-118.28311
145,34.01835,-118.28311,34.0183525,-118.28305999999999
146,34.0183525,-118.28305999999999,34.018355,-118.28300999999999
147,34.018355,-118.28300999999999,34.0183575,-118.28296
148,34.0183575,-118.28296,34.01836,-118.28291
149,34.01836,-118.28291,34.018365555555555,-118.28284888888889
150,34.018365555555555,-118.28284888888889,34.018371111111115,-118.28278777777778
151,34.018371111111115,-118.28278777777778,34.01837666666667,-118.28272666666666
152,34.01837666666667,-118.28272666666666,34.01838222222222,-118.28266555555555
153,34.01838222222222,-118.28266555555555,34.01838777777778,-118.28260444444444
154,34.01838777777778,-118.28260444444444,34.018393333333336,-118.28254333333334
155,34.018393333333336,-118.28254333333334,34.01839888888889,-118.28248222222221
