route_no,latitude,longitude
20,34.01837,-118.29088
20,34.01837,-118.29057
20,34.01837,-118.29048
20,34.01837,-118.29014
20,34.01837,-118.28952
20,34.01837,-118.28941
20,34.01838,-118.28905
20,34.0183477,-118.2914598
20,34.0183758,-118.2890463
21,34.01835,-118.29146
21,34.01838,-118.29146
21,34.01838,-118.29139
21,34.01837,-118.29088
21,34.01837,-118.29057
21,34.01837,-118.29048
21,34.01837,-118.29014
21,34.01837,-118.28952
21,34.01837,-118.28941
21,34.01838,-118.28905
21,34.0183477,-118.2914598
21,34.0183758,-118.2890463
22,34.01835,-118.29146
22,34.01838,-118.29146
22,34.01838,-118.29139
22,34.01837,-118.29088
22,34.01837,-118.29057
22,34.01837,-118.29048
22,34.01837,-118.29014
22,34.01837,-118.28952
22,34.01837,-118.28941
22,34.01838,-118.28905
22,34.0183477,-118.2914598
22,34.0183758,-118.2890463
23,34.01835,-118.29146
23,34.01891,-118.29146
23,34.01933,-118.29146
23,34.01961,-118.29146
23,34.01996,-118.29146
23,34.02082,-118.29145
23,34.0183477,-118.2914598
23,34.0208186,-118.2914484
24,34.01835,-118.29146
24,34.01838,-118.29146
24,34.01838,-118.29139
24,34.01837,-118.29088
24,34.01837,-118.29057
24,34.01837,-118.29048
24,34.01837,-118.29014
24,34.01837,-118.28952
24,34.01837,-118.28941
24,34.01838,-118.28904
24,34.01838,-118.28896
24,34.01838,-118.28779
24,34.01838,-118.28742
24,34.01838,-118.28663
24,34.01837,-118.28612
24,34.01837,-118.28537
24,34.01837,-118.28464
24,34.01835,-118.28365
24,34.01835,-118.28356
24,34.01835,-118.28347
24,34.01835,-118.28338
24,34.01835,-118.28323
24,34.01835,-118.28311
24,34.01836,-118.28291
24,34.01841,-118.28236
24,34.01841,-118.28226
24,34.01841,-118.28223
24,34.01842,-118.28213
24,34.01842,-118.28208
24,34.01843,-118.28202
24,34.01843,-118.28195
24,34.01844,-118.28183
24,34.01846,-118.28111
24,34.01846,-118.28107
24,34.01846,-118.28098
24,34.01846,-118.28066
24,34.0183477,-118.2914598
24,34.0184634,-118.2806642
25,34.01835,-118.29146
25,34.01838,-118.29146
25,34.01838,-118.29139
25,34.01837,-118.29088
25,34.01837,-118.29057
25,34.01837,-118.29048
25,34.01837,-118.29014
25,34.01837,-118.28952
25,34.01837,-118.28941
25,34.01838,-118.28905
25,34.0183477,-118.2914598
25,34.0183758,-118.2890463
26,34.01835,-118.29146
26,34.01838,-118.29146
26,34.01838,-118.29139
26,34.01837,-118.29088
26,34.01837,-118.29057
26,34.01837,-118.29048
26,34.01837,-118.29014
26,34.01837,-118.28952
26,34.01837,-118.28941
26,34.01838,-118.28905
26,34.0183477,-118.2914598
26,34.0183758,-118.2890463
27,34.01835,-118.29146
27,34.01891,-118.29146
27,34.01933,-118.29146
27,34.01961,-118.29146
27,34.01996,-118.29146
27,34.0209,-118.29145
27,34.02136,-118.29145
27,34.022,-118.29145
27,34.02208,-118.29144
27,34.0183477,-118.2914598
27,34.0220813,-118.2914449
28,34.01835,-118.29146
28,34.01891,-118.29146
28,34.01933,-118.29146
28,34.01961,-118.29146
28,34.01996,-118.29146
28,34.0209,-118.29145
28,34.02136,-118.29145
28,34.022,-118.29145
28,34.02208,-118.29144
28,34.0183477,-118.2914598
28,34.0220813,-118.2914449
29,34.01835,-118.29146
29,34.01891,-118.29146
29,34.01933,-118.29146
29,34.01961,-118.29146
29,34.01996,-118.29146
29,34.0209,-118.29145
29,34.02136,-118.29145
29,34.022,-118.29145
29,34.0183477,-118.2914598
29,34.0220021,-118.2914457
30,34.01835,-118.29146
30,34.01891,-118.29146
30,34.01933,-118.29146
30,34.01961,-118.29146
30,34.01996,-118.29146
30,34.0209,-118.29145
30,34.02136,-118.29145
30,34.022,-118.29145
30,34.0183477,-118.2914598
30,34.0220021,-118.2914457
31,34.01835,-118.29146
31,34.01891,-118.29146
31,34.01933,-118.29146
31,34.01961,-118.29146
31,34.01996,-118.29146
31,34.0209,-118.29145
31,34.02136,-118.29145
31,34.022,-118.29145
31,34.02208,-118.29144
31,34.02276,-118.29145
31,34.02307,-118.29145
31,34.02311,-118.29145
31,34.02401,-118.29145
31,34.0247,-118.29145
31,34.02498,-118.29145
31,34.02541,-118.29145
31,34.0183477,-118.2914598
31,34.0254142,-118.2914484
32,34.01835,-118.29146
32,34.01891,-118.29146
32,34.01933,-118.29146
32,34.01961,-118.29146
32,34.01996,-118.29146
32,34.0209,-118.29145
32,34.02136,-118.29145
32,34.022,-118.29145
32,34.02208,-118.29144
32,34.02276,-118.29145
32,34.02307,-118.29145
32,34.02311,-118.29145
32,34.02401,-118.29145
32,34.0247,-118.29145
32,34.02498,-118.29145
32,34.02541,-118.29145
32,34.0183477,-118.2914598
32,34.0254142,-118.2914484
33,34.01835,-118.29146
33,34.01891,-118.29146
33,34.01933,-118.29146
33,34.01961,-118.29146
33,34.01996,-118.29146
33,34.0209,-118.29145
33,34.02136,-118.29145
33,34.022,-118.29145
33,34.02208,-118.29144
33,34.02276,-118.29145
33,34.02307,-118.29145
33,34.02311,-118.29145
33,34.02401,-118.29145
33,34.0247,-118.29145
33,34.02498,-118.29145
33,34.02541,-118.29145
33,34.0183477,-118.2914598
33,34.0254142,-118.2914484
34,34.01835,-118.29146
34,34.01891,-118.29146
34,34.01933,-118.29146
34,34.01961,-118.29146
34,34.01996,-118.29146
34,34.0209,-118.29145
34,34.02136,-118.29145
34,34.022,-118.29145
34,34.02208,-118.29144
34,34.02276,-118.29145
34,34.02307,-118.29145
34,34.02311,-118.29145
34,34.02401,-118.29145
34,34.0247,-118.29145
34,34.02498,-118.29145
34,34.02541,-118.29145
34,34.0183477,-118.2914598
34,34.0254142,-118.2914484
35,34.01835,-118.29146
35,34.01891,-118.29146
35,34.01933,-118.29146
35,34.01961,-118.29146
35,34.01996,-118.29146
35,34.0209,-118.29145
35,34.02136,-118.29145
35,34.022,-118.29145
35,34.02208,-118.29144
35,34.02276,-118.29145
35,34.02307,-118.29145
35,34.02311,-118.29145
35,34.02401,-118.29145
35,34.0247,-118.29145
35,34.02498,-118.29145
35,34.02541,-118.29145
35,34.0183477,-118.2914598
35,34.0254142,-118.2914484
36,34.01835,-118.29146
36,34.01891,-118.29146
36,34.01933,-118.29146
36,34.01961,-118.29146
36,34.01996,-118.29146
36,34.0209,-118.29145
36,34.02136,-118.29145
36,34.022,-118.29145
36,34.02208,-118.29144
36,34.02276,-118.29145
36,34.02307,-118.29145
36,34.02311,-118.29145
36,34.02401,-118.29145
36,34.0247,-118.29145
36,34.02498,-118.29145
36,34.02541,-118.29145
36,34.0183477,-118.2914598
36,34.0254142,-118.2914484
37,34.01835,-118.29146
37,34.01891,-118.29146
37,34.01933,-118.29146
37,34.01961,-118.29146
37,34.01996,-118.29146
37,34.0209,-118.29145
37,34.02136,-118.29145
37,34.022,-118.29145
37,34.02208,-118.29144
37,34.02276,-118.29145
37,34.02307,-118.29145
37,34.02311,-118.29145
37,34.02401,-118.29145
37,34.0183477,-118.2914598
