,lon,lat
0,-118.29146000000001,34.01835
1,-118.29146000000001,34.01838
2,-118.29138999999999,34.01838
3,-118.29132,34.01838
4,-118.2914598,34.0183477
5,-118.2913219,34.0183781
6,-118.29088,34.018370000000004
7,-118.29087709999999,34.018373700000005
8,-118.29057,34.018370000000004
9,-118.29057,34.018370700000006
10,-118.29048,34.018370000000004
11,-118.29047920000001,34.018369799999995
12,-118.29014,34.018370000000004
13,-118.29013959999999,34.0183656
14,-118.28952,34.018370000000004
15,-118.28952050000001,34.0183713
16,-118.28941,34.018370000000004
17,-118.28940619999999,34.0183724
18,-118.28903999999999,34.01838
19,-118.28904469999999,34.018375799999994
20,-118.28896,34.01838
21,-118.28893000000001,34.01838
22,-118.28892979999999,34.018376200000006
23,-118.28895790000001,34.018376200000006
24,-118.28905,34.01838
25,-118.2890463,34.018375799999994
26,-118.29146000000001,34.01891
27,-118.29146000000001,34.01933
28,-118.29146000000001,34.01961
29,-118.29146000000001,34.01996
30,-118.29145,34.02082
31,-118.29144840000002,34.0208186
32,-118.28778999999999,34.01838
33,-118.28742,34.01838
34,-118.28663,34.01838
35,-118.28612,34.018370000000004
36,-118.28537,34.018370000000004
37,-118.28464,34.018370000000004
38,-118.28365,34.01835
39,-118.28356000000001,34.01835
40,-118.28347,34.01835
41,-118.28338000000001,34.01835
42,-118.28323,34.01835
43,-118.28311000000001,34.01835
44,-118.28291000000002,34.018359999999994
45,-118.28236000000001,34.018409999999996
46,-118.28226000000001,34.018409999999996
47,-118.28223,34.018409999999996
48,-118.28213000000001,34.01842
49,-118.28208000000001,34.01842
50,-118.28201999999999,34.01843
51,-118.28195,34.01843
52,-118.28183,34.018440000000005
53,-118.28111000000001,34.01846
54,-118.28107,34.01846
55,-118.28098,34.01846
56,-118.28066000000001,34.01846
57,-118.2806642,34.018463399999995
58,-118.29145,34.0209
59,-118.29145,34.021359999999994
60,-118.29145,34.022
61,-118.29144,34.022079999999995
62,-118.2914449,34.022081299999996
63,-118.2914457,34.0220021
64,-118.29145,34.02276
65,-118.29145,34.023070000000004
66,-118.29145,34.023109999999996
67,-118.29145,34.02401
68,-118.29145,34.0247
69,-118.29145,34.02498
70,-118.29145,34.02541
71,-118.29144840000002,34.02541420000001
72,-118.2914493,34.0240059
73,-118.2914527,34.024981200000006
74,-118.291451,34.024695200000004
75,-118.2914493,34.0240066
76,-118.2914465,34.023111
77,-118.2914476,34.023067100000006
78,-118.29144509999999,34.0227629
79,-118.2914548,34.0213574
80,-118.28658999999999,34.01838
81,-118.28658600000001,34.0183769
82,-118.28533999999999,34.018370000000004
83,-118.28534109999998,34.0183714
84,-118.28346940000002,34.0183532
85,-118.28356480000001,34.0183522
86,-118.28338190000001,34.018353399999995
87,-118.28322649999998,34.0183527
88,-118.2831142,34.0183523
89,-118.282913,34.018358299999996
90,-118.2823614,34.018412100000006
91,-118.2914598,34.0183818
92,-118.2904791,34.018369799999995
93,-118.29085,34.018370000000004
94,-118.2908521,34.0183734
95,-118.29014,34.01833
96,-118.2901368,34.0183296
97,-118.29013959999999,34.0183655
98,-118.28895729999999,34.018376200000006
99,-118.2901367,34.0183656
100,-118.28901,34.01838
101,-118.28900530000001,34.018376200000006
102,-118.289,34.01838
103,-118.2890048,34.018376200000006
104,-118.28894,34.01842
105,-118.28866000000001,34.01886
106,-118.2886625,34.018857399999995
107,-118.28895,34.0184
108,-118.28894,34.01843
109,-118.288937,34.0184307
110,-118.28903999999999,34.01842
111,-118.28902,34.01845
