route_no,latitude,longitude
6,34.01837,-118.29088
6,34.01837,-118.29057
6,34.01837,-118.29048
6,34.01837,-118.29014
6,34.01837,-118.28952
6,34.01837,-118.28941
6,34.01838,-118.28904
6,34.01838,-118.28896
6,34.01838,-118.28779
6,34.01838,-118.28742
6,34.01838,-118.28663
6,34.01837,-118.28612
6,34.01837,-118.28537
6,34.01837,-118.28464
6,34.0183477,-118.2914598
6,34.018369,-118.284641
7,34.01835,-118.29146
7,34.01838,-118.29146
7,34.01838,-118.29139
7,34.01837,-118.29088
7,34.01837,-118.29057
7,34.01837,-118.29048
7,34.01837,-118.29014
7,34.01837,-118.28952
7,34.01837,-118.28941
7,34.01838,-118.28904
7,34.01838,-118.28896
7,34.01838,-118.28779
7,34.01838,-118.28742
7,34.01838,-118.28663
7,34.01837,-118.28612
7,34.01837,-118.28537
7,34.01837,-118.28464
7,34.01835,-118.28365
7,34.01835,-118.28356
7,34.01835,-118.28347
7,34.01835,-118.28338
7,34.01835,-118.28323
7,34.01835,-118.28311
7,34.01836,-118.28291
7,34.01841,-118.28236
7,34.0183477,-118.2914598
7,34.0184121,-118.2823614
8,34.01835,-118.29146
8,34.01838,-118.29146
8,34.01838,-118.29139
8,34.01837,-118.29088
8,34.01837,-118.29057
8,34.01837,-118.29048
8,34.01837,-118.29014
8,34.01837,-118.28952
8,34.01837,-118.28941
8,34.01838,-118.28904
8,34.01838,-118.28896
8,34.01838,-118.28779
8,34.01838,-118.28742
8,34.01838,-118.28663
8,34.01837,-118.28612
8,34.01837,-118.28537
8,34.01837,-118.28464
8,34.01835,-118.28365
8,34.01835,-118.28356
8,34.01835,-118.28347
8,34.01835,-118.28338
8,34.01835,-118.28323
8,34.01835,-118.28311
8,34.01836,-118.28291
8,34.01841,-118.28236
8,34.01841,-118.28226
8,34.01841,-118.28223
8,34.01842,-118.28213
8,34.01842,-118.28208
8,34.01843,-118.28202
8,34.01843,-118.28195
8,34.01844,-118.28183
8,34.01846,-118.28111
8,34.0183477,-118.2914598
8,34.01846,-118.2811142
9,34.01835,-118.29146
9,34.01838,-118.29146
9,34.01838,-118.29139
9,34.01837,-118.29088
9,34.01837,-118.29057
9,34.01837,-118.29048
9,34.01837,-118.29014
9,34.01837,-118.28952
9,34.01837,-118.28941
9,34.01838,-118.28904
9,34.01838,-118.28896
9,34.01838,-118.28779
9,34.01838,-118.28742
9,34.01838,-118.28663
9,34.01837,-118.28612
